[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/db/migrations/migration.py first seen with mtime 1716543478.337987
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/psycopg2/__init__.py first seen with mtime 1716798176.9893367
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/encodings/__init__.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/utils/log.py first seen with mtime 1716543478.4019868
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/views/__init__.py first seen with mtime 1716543478.4099867
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1716543478.053988
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/psycopg2/_range.py first seen with mtime 1716798176.9933367
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/contrib/__init__.py first seen with mtime 1716543477.6619892
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/core/checks/security/__init__.py first seen with mtime 1716543478.3019872
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/psycopg2/sql.py first seen with mtime 1716798176.9893367
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1716543478.333987
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/db/models/expressions.py first seen with mtime 1716543478.345987
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/templatetags/static.py first seen with mtime 1716543478.3899868
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/re/_casefix.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/contrib/auth/views.py first seen with mtime 1716543477.8339887
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/pathlib.py first seen with mtime 1708879286.0
